timestamp,endpoint_id,ip_address,bandwidth,latency,packet_loss,cpu_utilization,memory_utilization,active_connections,packets_sent,packets_received,label,anomaly_type
2026-09-01 01:15:45,EP-005,192.168.1.105,192.3,28.5,1.11,43.4,53.8,129,9267,9126,0,Normal
2026-09-01 01:16:02,EP-003,192.168.1.103,332.3,18.7,0.0,28.0,47.8,110,10337,10160,0,Normal
2026-09-01 01:16:19,EP-004,192.168.1.104,176.9,30.4,0.03,43.2,41.0,87,4910,5038,0,Normal
2026-09-01 01:16:36,EP-003,192.168.1.103,1244.8,12.9,0.09,82.2,43.9,501,63172,58275,1,Traffic Spike
2026-09-01 01:16:53,EP-004,192.168.1.104,158.6,13.3,0.72,34.1,55.8,77,13222,12415,0,Normal
2026-09-01 01:17:10,EP-002,192.168.1.102,274.7,40.6,0.11,33.9,41.1,52,6390,6616,0,Normal
2026-09-01 01:17:27,EP-004,192.168.1.104,291.2,18.6,1.26,40.8,60.6,114,5172,5036,0,Normal
2026-09-01 01:17:44,EP-004,192.168.1.104,363.3,25.4,1.06,38.7,35.7,114,11639,10814,0,Normal
2026-09-01 01:18:01,EP-002,192.168.1.102,137.7,489.2,17.47,47.8,41.5,125,13895,13327,1,High Latency
2026-09-01 01:18:18,EP-002,192.168.1.102,1397.1,12.0,0.99,84.4,20.2,378,60045,57006,1,Traffic Spike
2026-09-01 01:18:35,EP-001,192.168.1.101,1037.5,42.1,0.0,90.1,27.4,111,93649,16476,1,Packet Rate Anomaly
2026-09-01 01:18:52,EP-001,192.168.1.101,911.8,16.0,0.49,73.8,56.7,850,35073,21597,1,Connection Flood
2026-09-01 01:19:09,EP-005,192.168.1.105,323.8,276.2,11.76,31.6,42.4,94,14298,5987,1,Packet Loss Surge
2026-09-01 01:19:26,EP-004,192.168.1.104,271.4,40.5,0.0,44.5,42.9,77,13676,13571,0,Normal
2026-09-01 01:19:43,EP-005,192.168.1.105,706.0,31.5,1.27,86.4,44.4,773,35691,12157,1,Connection Flood
2026-09-01 01:20:00,EP-001,192.168.1.101,147.2,32.3,0.52,50.0,37.3,71,10490,10152,0,Normal
2026-09-01 01:20:17,EP-004,192.168.1.104,353.1,42.3,0.74,30.0,44.7,81,10208,10113,0,Normal
2026-09-01 01:20:34,EP-005,192.168.1.105,174.4,29.3,0.79,37.0,43.4,47,4405,4075,0,Normal
2026-09-01 01:20:51,EP-001,192.168.1.101,1133.2,41.5,0.81,85.1,52.2,582,50054,20826,1,Connection Flood
2026-09-01 01:21:08,EP-002,192.168.1.102,857.8,24.9,1.23,69.3,30.1,62,85765,9440,1,Packet Rate Anomaly
2026-09-01 01:21:25,EP-005,192.168.1.105,94.2,35.7,0.29,50.3,40.8,54,5785,5530,0,Normal
2026-09-01 01:21:42,EP-004,192.168.1.104,249.2,20.4,0.3,40.6,52.8,132,11498,11356,0,Normal
2026-09-01 01:21:59,EP-003,192.168.1.103,259.9,16.1,0.0,32.6,38.6,94,16108,15542,0,Normal
2026-09-01 01:22:16,EP-005,192.168.1.105,189.3,19.3,0.78,31.8,54.8,57,10113,9779,0,Normal
2026-09-01 01:22:33,EP-002,192.168.1.102,349.9,15.3,0.0,41.3,29.7,86,15490,16221,0,Normal
2026-09-01 01:22:50,EP-005,192.168.1.105,212.8,26.8,0.56,43.2,46.3,130,11683,11885,0,Normal
2026-09-01 01:23:07,EP-005,192.168.1.105,297.9,30.8,0.62,40.1,32.8,40,5327,5154,0,Normal
2026-09-01 01:23:24,EP-005,192.168.1.105,153.3,31.3,0.27,26.5,33.6,116,9192,9179,0,Normal
2026-09-01 01:23:41,EP-004,192.168.1.104,132.2,153.2,22.44,54.8,53.1,69,13790,6104,1,Packet Loss Surge
2026-09-01 01:23:58,EP-002,192.168.1.102,135.2,12.1,0.93,22.7,50.5,42,5075,5321,0,Normal
2026-09-01 01:24:15,EP-003,192.168.1.103,305.3,147.8,0.39,92.6,86.9,337,9868,9235,1,Resource Exhaustion
2026-09-01 01:24:32,EP-001,192.168.1.101,182.0,38.6,0.61,15.1,29.0,49,12871,12584,0,Normal
2026-09-01 01:24:49,EP-005,192.168.1.105,134.4,12.2,0.13,38.4,48.4,87,6320,5989,0,Normal
2026-09-01 01:25:06,EP-002,192.168.1.102,177.6,40.2,0.67,51.9,47.0,136,7281,7136,0,Normal
2026-09-01 01:25:23,EP-003,192.168.1.103,104.1,27.8,0.77,28.7,49.2,139,12594,12290,0,Normal
2026-09-01 01:25:40,EP-002,192.168.1.102,1361.3,22.5,0.23,87.4,39.0,305,60340,30614,1,Traffic Spike
2026-09-01 01:25:57,EP-005,192.168.1.105,1061.6,20.4,0.89,72.7,47.5,510,59222,32558,1,Traffic Spike
2026-09-01 01:26:14,EP-003,192.168.1.103,75.0,20.9,0.0,40.2,34.9,130,9039,8338,0,Normal
2026-09-01 01:26:31,EP-003,192.168.1.103,156.1,9.7,0.19,43.1,25.9,118,13985,14523,0,Normal
2026-09-01 01:26:48,EP-003,192.168.1.103,279.8,106.1,0.84,91.8,88.2,202,13179,13067,1,Resource Exhaustion
2026-09-01 01:27:05,EP-004,192.168.1.104,248.2,21.8,1.11,39.2,34.5,83,7655,7643,0,Normal
2026-09-01 01:27:22,EP-001,192.168.1.101,220.9,25.0,0.9,23.8,39.4,99,7942,7774,0,Normal
2026-09-01 01:27:39,EP-003,192.168.1.103,225.8,22.9,0.12,32.8,32.5,75,13162,13142,0,Normal
2026-09-01 01:27:56,EP-002,192.168.1.102,301.3,16.6,0.43,37.4,33.1,108,3469,3332,0,Normal
2026-09-01 01:28:13,EP-004,192.168.1.104,139.9,27.2,0.86,36.9,44.6,98,10869,10880,0,Normal
2026-09-01 01:28:30,EP-003,192.168.1.103,246.4,16.0,0.0,44.1,60.2,72,14776,15162,0,Normal
2026-09-01 01:28:47,EP-002,192.168.1.102,244.3,18.4,0.19,17.9,51.0,130,6753,6869,0,Normal
2026-09-01 01:29:04,EP-001,192.168.1.101,98.3,34.6,0.28,33.4,42.3,60,5393,5555,0,Normal
2026-09-01 01:29:21,EP-003,192.168.1.103,180.0,24.5,0.69,49.7,38.8,113,13155,12292,0,Normal
2026-09-01 01:29:38,EP-004,192.168.1.104,1125.5,23.0,0.0,76.0,43.5,121,74332,10007,1,Packet Rate Anomaly
2026-09-01 01:29:55,EP-003,192.168.1.103,1085.4,42.4,0.65,78.2,57.0,79,64378,13319,1,Packet Rate Anomaly
2026-09-01 01:30:12,EP-003,192.168.1.103,110.6,22.3,0.22,28.7,61.3,131,4529,4256,0,Normal
2026-09-01 01:30:29,EP-005,192.168.1.105,362.8,32.3,0.98,28.7,44.2,96,6189,6495,0,Normal
2026-09-01 01:30:46,EP-001,192.168.1.101,135.4,14.4,1.1,37.3,42.2,135,10877,10961,0,Normal
2026-09-01 01:31:03,EP-004,192.168.1.104,1122.9,24.0,0.2,87.9,56.3,1111,34105,15615,1,Connection Flood
2026-09-01 01:31:20,EP-003,192.168.1.103,176.8,36.9,1.09,45.8,51.6,131,4030,3773,0,Normal
2026-09-01 01:31:37,EP-002,192.168.1.102,267.7,42.6,0.42,28.2,29.4,56,6108,6236,0,Normal
2026-09-01 01:31:54,EP-002,192.168.1.102,331.0,21.9,0.95,28.5,50.1,82,14211,14410,0,Normal
2026-09-01 01:32:11,EP-001,192.168.1.101,156.3,17.0,0.87,33.6,41.6,140,10928,10246,0,Normal
2026-09-01 01:32:28,EP-001,192.168.1.101,93.5,29.7,1.22,33.9,51.2,118,7382,7264,0,Normal
2026-09-01 01:32:45,EP-005,192.168.1.105,313.6,25.8,0.4,56.1,41.3,82,10570,10664,0,Normal
2026-09-01 01:33:02,EP-005,192.168.1.105,1636.8,298.4,8.67,89.2,89.9,516,67338,57035,1,Combined Severe Anomaly
2026-09-01 01:33:19,EP-003,192.168.1.103,248.6,38.7,1.2,57.7,37.1,58,4400,4614,0,Normal
2026-09-01 01:33:36,EP-003,192.168.1.103,333.9,31.9,1.03,51.3,37.9,136,6073,6307,0,Normal
2026-09-01 01:33:53,EP-001,192.168.1.101,295.8,17.9,0.79,18.2,50.8,80,10535,9892,0,Normal
2026-09-01 01:34:10,EP-005,192.168.1.105,161.1,37.8,0.23,37.7,35.9,53,7326,7048,0,Normal
2026-09-01 01:34:27,EP-002,192.168.1.102,392.3,30.1,0.03,34.7,28.6,133,5810,6015,0,Normal
2026-09-01 01:34:44,EP-001,192.168.1.101,248.3,121.1,13.09,28.2,24.6,88,13545,6572,1,Packet Loss Surge
2026-09-01 01:35:01,EP-002,192.168.1.102,316.2,133.5,25.78,25.9,49.1,112,10946,7641,1,Packet Loss Surge
2026-09-01 01:35:18,EP-004,192.168.1.104,242.8,18.4,0.92,28.7,46.4,119,15186,15183,0,Normal
2026-09-01 01:35:35,EP-003,192.168.1.103,341.9,23.4,0.31,41.4,53.0,131,13233,12608,0,Normal
2026-09-01 01:35:52,EP-005,192.168.1.105,226.7,12.9,0.25,37.8,51.1,128,9491,9962,0,Normal
2026-09-01 01:36:09,EP-003,192.168.1.103,241.0,41.3,1.37,56.4,39.6,76,13844,12824,0,Normal
2026-09-01 01:36:26,EP-003,192.168.1.103,263.7,28.1,0.98,53.8,44.8,108,11820,10904,0,Normal
2026-09-01 01:36:43,EP-003,192.168.1.103,323.7,25.4,0.67,36.0,42.9,70,5930,6093,0,Normal
2026-09-01 01:37:00,EP-005,192.168.1.105,213.7,12.0,1.22,27.5,39.7,96,9965,10357,0,Normal
2026-09-01 01:37:17,EP-003,192.168.1.103,209.1,23.8,0.57,38.5,50.5,74,3611,3403,0,Normal
2026-09-01 01:37:34,EP-002,192.168.1.102,218.9,114.2,27.84,23.8,35.1,129,11892,5376,1,Packet Loss Surge
2026-09-01 01:37:51,EP-003,192.168.1.103,236.9,31.2,0.07,37.6,57.8,58,14989,15405,0,Normal
2026-09-01 01:38:08,EP-005,192.168.1.105,303.8,13.9,0.0,45.0,49.4,50,6802,6877,0,Normal
2026-09-01 01:38:25,EP-004,192.168.1.104,267.6,17.1,0.53,38.0,55.7,120,3226,3361,0,Normal
2026-09-01 01:38:42,EP-005,192.168.1.105,1089.0,15.4,0.97,74.1,37.9,1172,58782,24932,1,Connection Flood
2026-09-01 01:38:59,EP-001,192.168.1.101,127.3,15.4,0.0,40.5,58.5,86,8868,8855,0,Normal
2026-09-01 01:39:16,EP-003,192.168.1.103,247.1,36.1,0.68,19.5,33.5,78,4593,4629,0,Normal
2026-09-01 01:39:33,EP-002,192.168.1.102,1059.6,35.8,0.86,79.3,54.7,1063,29369,24224,1,Connection Flood
2026-09-01 01:39:50,EP-003,192.168.1.103,241.2,16.9,0.96,39.9,42.9,104,16584,15928,0,Normal
2026-09-01 01:40:07,EP-001,192.168.1.101,147.0,26.1,0.58,33.8,36.9,85,9565,8944,0,Normal
2026-09-01 01:40:24,EP-001,192.168.1.101,224.5,35.6,0.58,47.5,47.8,46,9695,9660,0,Normal
2026-09-01 01:40:41,EP-001,192.168.1.101,1083.7,25.1,0.0,84.4,35.9,645,43108,20796,1,Connection Flood
2026-09-01 01:40:58,EP-001,192.168.1.101,125.8,24.6,1.4,28.8,55.7,115,5020,5023,0,Normal
2026-09-01 01:41:15,EP-004,192.168.1.104,326.7,34.1,0.45,31.5,28.2,60,6003,5815,0,Normal
2026-09-01 01:41:32,EP-005,192.168.1.105,233.6,36.3,0.53,21.6,46.8,52,14046,14130,0,Normal
2026-09-01 01:41:49,EP-004,192.168.1.104,339.8,32.9,0.5,49.9,48.2,123,12155,12471,0,Normal
2026-09-01 01:42:06,EP-003,192.168.1.103,284.6,32.4,0.83,34.1,27.5,135,3593,3475,0,Normal
2026-09-01 01:42:23,EP-002,192.168.1.102,723.2,43.8,0.69,71.4,53.4,80,80866,10868,1,Packet Rate Anomaly
2026-09-01 01:42:40,EP-001,192.168.1.101,350.6,24.0,0.15,40.0,54.1,48,10626,10814,0,Normal
2026-09-01 01:42:57,EP-002,192.168.1.102,273.5,31.0,0.43,35.5,47.6,98,11006,11110,0,Normal
2026-09-01 01:43:14,EP-005,192.168.1.105,1081.2,228.2,14.18,90.7,91.6,665,61328,71785,1,Combined Severe Anomaly
2026-09-01 01:43:31,EP-005,192.168.1.105,180.6,22.3,0.7,46.1,49.7,127,6794,7079,0,Normal
2026-09-01 01:43:48,EP-002,192.168.1.102,143.7,245.3,11.93,27.6,31.0,98,12292,5960,1,Packet Loss Surge
2026-09-01 01:44:05,EP-005,192.168.1.105,138.4,33.5,0.86,46.8,45.3,112,8033,7848,0,Normal
2026-09-01 01:44:22,EP-004,192.168.1.104,353.9,30.4,0.58,30.4,38.0,149,5696,5748,0,Normal
2026-09-01 01:44:39,EP-003,192.168.1.103,231.0,20.8,0.37,33.8,38.7,66,5584,5731,0,Normal
2026-09-01 01:44:56,EP-001,192.168.1.101,246.8,32.7,0.0,42.1,45.6,120,13936,13042,0,Normal
2026-09-01 01:45:13,EP-004,192.168.1.104,372.1,31.2,0.0,18.3,41.4,108,11737,12024,0,Normal
2026-09-01 01:45:30,EP-004,192.168.1.104,1290.4,28.1,0.0,75.0,28.7,106,67400,18144,1,Packet Rate Anomaly
2026-09-01 01:45:47,EP-001,192.168.1.101,303.4,40.3,0.74,43.2,46.9,94,3347,3213,0,Normal
2026-09-01 01:46:04,EP-002,192.168.1.102,224.4,10.5,1.24,34.8,38.6,123,12870,13271,0,Normal
2026-09-01 01:46:21,EP-004,192.168.1.104,136.9,21.9,1.22,27.3,48.8,45,7166,7347,0,Normal
2026-09-01 01:46:38,EP-005,192.168.1.105,213.2,21.8,0.91,34.0,55.8,119,7044,6885,0,Normal
2026-09-01 01:46:55,EP-004,192.168.1.104,1379.7,18.6,0.96,87.3,20.5,135,89559,16509,1,Packet Rate Anomaly
2026-09-01 01:47:12,EP-005,192.168.1.105,93.8,20.6,1.11,48.1,31.1,100,4194,4033,0,Normal
2026-09-01 01:47:29,EP-004,192.168.1.104,352.4,13.7,1.03,23.7,37.6,129,5344,5172,0,Normal
2026-09-01 01:47:46,EP-003,192.168.1.103,341.6,22.9,0.63,27.7,50.1,126,15288,14676,0,Normal
2026-09-01 01:48:03,EP-003,192.168.1.103,142.8,25.3,0.74,28.3,48.0,29,14750,15203,0,Normal
2026-09-01 01:48:20,EP-001,192.168.1.101,179.4,136.8,0.07,99.2,87.4,287,11127,11023,1,Resource Exhaustion
2026-09-01 01:48:37,EP-003,192.168.1.103,335.3,25.7,0.38,39.2,58.3,47,4999,4966,0,Normal
2026-09-01 01:48:54,EP-004,192.168.1.104,280.1,181.4,14.7,47.3,58.6,110,8233,4301,1,Packet Loss Surge
2026-09-01 01:49:11,EP-005,192.168.1.105,136.5,33.4,0.22,41.3,54.8,52,5338,5353,0,Normal
2026-09-01 01:49:28,EP-004,192.168.1.104,308.2,30.8,1.06,35.7,40.9,89,13370,13387,0,Normal
2026-09-01 01:49:45,EP-002,192.168.1.102,1094.9,42.8,0.34,83.8,37.7,556,52527,18024,1,Connection Flood
2026-09-01 01:50:02,EP-003,192.168.1.103,183.4,25.4,0.89,35.9,23.8,102,4492,4454,0,Normal
2026-09-01 01:50:19,EP-002,192.168.1.102,182.1,28.9,0.51,26.5,42.8,56,9050,8367,0,Normal
2026-09-01 01:50:36,EP-003,192.168.1.103,1112.9,29.3,0.43,87.2,41.7,366,58056,37946,1,Traffic Spike
2026-09-01 01:50:53,EP-004,192.168.1.104,1110.4,27.7,0.71,78.0,49.5,1021,38645,12717,1,Connection Flood
2026-09-01 01:51:10,EP-002,192.168.1.102,211.4,28.7,0.21,37.2,54.3,51,9490,9731,0,Normal
2026-09-01 01:51:27,EP-004,192.168.1.104,370.7,28.1,0.96,48.5,54.4,59,8803,8211,0,Normal
2026-09-01 01:51:44,EP-001,192.168.1.101,182.6,10.3,0.79,20.8,60.6,43,6327,6389,0,Normal
2026-09-01 01:52:01,EP-004,192.168.1.104,277.0,177.0,31.64,30.9,46.0,152,14180,8170,1,Packet Loss Surge
2026-09-01 01:52:18,EP-002,192.168.1.102,346.6,25.1,1.6,28.9,38.4,51,8464,8776,0,Normal
2026-09-01 01:52:35,EP-005,192.168.1.105,122.2,16.5,0.99,29.6,47.9,100,15011,15499,0,Normal
2026-09-01 01:52:52,EP-004,192.168.1.104,187.9,16.9,0.12,34.1,61.5,105,12406,12802,0,Normal
2026-09-01 01:53:09,EP-003,192.168.1.103,309.4,101.4,25.37,32.7,43.3,20,11539,6423,1,Packet Loss Surge
2026-09-01 01:53:26,EP-002,192.168.1.102,166.4,16.8,0.14,25.2,49.1,62,11568,11153,0,Normal
2026-09-01 01:53:43,EP-004,192.168.1.104,76.3,37.9,0.47,40.4,38.4,78,6914,6756,0,Normal
2026-09-01 01:54:00,EP-004,192.168.1.104,203.8,36.3,0.7,22.5,34.4,68,13232,12928,0,Normal
2026-09-01 01:54:17,EP-003,192.168.1.103,123.8,105.1,0.57,90.3,93.8,277,5821,5686,1,Resource Exhaustion
2026-09-01 01:54:34,EP-004,192.168.1.104,1480.2,41.0,0.76,81.8,48.0,303,67558,30763,1,Traffic Spike
2026-09-01 01:54:51,EP-002,192.168.1.102,202.4,33.7,0.92,49.4,45.6,102,5291,5496,0,Normal
2026-09-01 01:55:08,EP-002,192.168.1.102,354.0,40.7,0.73,40.8,48.1,50,15666,15414,0,Normal
2026-09-01 01:55:25,EP-005,192.168.1.105,213.8,31.0,0.25,50.4,36.8,45,13276,12896,0,Normal
2026-09-01 01:55:42,EP-004,192.168.1.104,162.3,11.4,0.8,40.4,36.2,125,6832,6387,0,Normal
2026-09-01 01:55:59,EP-005,192.168.1.105,1586.3,20.0,0.26,82.2,25.1,367,64618,61855,1,Traffic Spike
2026-09-01 01:56:16,EP-005,192.168.1.105,315.6,37.4,0.47,47.8,51.3,32,7930,7776,0,Normal
2026-09-01 01:56:33,EP-004,192.168.1.104,148.0,72.6,0.21,95.7,96.0,293,4399,4074,1,Resource Exhaustion
2026-09-01 01:56:50,EP-001,192.168.1.101,201.4,39.3,0.0,37.4,29.8,140,9658,9341,0,Normal
2026-09-01 01:57:07,EP-004,192.168.1.104,358.8,21.3,0.43,32.5,40.5,88,14845,14505,0,Normal
2026-09-01 01:57:24,EP-002,192.168.1.102,123.6,37.7,0.57,27.6,35.9,69,12897,12182,0,Normal
2026-09-01 01:57:41,EP-005,192.168.1.105,232.0,9.7,1.02,33.9,43.0,109,16095,15792,0,Normal
2026-09-01 01:57:58,EP-005,192.168.1.105,964.0,14.9,0.73,69.3,51.5,54,78214,16887,1,Packet Rate Anomaly
2026-09-01 01:58:15,EP-004,192.168.1.104,331.5,17.7,0.37,34.3,57.5,35,13163,13684,0,Normal
2026-09-01 01:58:32,EP-003,192.168.1.103,123.0,24.4,0.49,38.8,35.1,39,8104,8139,0,Normal
2026-09-01 01:58:49,EP-003,192.168.1.103,124.3,14.1,0.35,44.1,33.3,73,12302,12533,0,Normal
2026-09-01 01:59:06,EP-004,192.168.1.104,1197.0,170.0,9.32,90.5,94.9,1023,74576,71959,1,Combined Severe Anomaly
2026-09-01 01:59:23,EP-003,192.168.1.103,94.9,34.9,1.38,39.7,38.5,101,6169,5792,0,Normal
2026-09-01 01:59:40,EP-003,192.168.1.103,252.0,30.6,0.0,33.8,54.0,40,11313,11840,0,Normal
2026-09-01 01:59:57,EP-001,192.168.1.101,269.1,33.4,0.98,30.2,56.7,81,14720,15383,0,Normal
2026-09-01 02:00:14,EP-002,192.168.1.102,311.2,32.1,0.41,22.3,49.1,59,6974,7059,0,Normal
2026-09-01 02:00:31,EP-002,192.168.1.102,262.7,33.8,0.48,29.4,30.0,108,13776,12713,0,Normal
2026-09-01 02:00:48,EP-001,192.168.1.101,108.9,26.1,0.8,14.5,46.0,147,6674,6889,0,Normal
2026-09-01 02:01:05,EP-004,192.168.1.104,291.9,113.9,0.82,90.8,87.1,310,8309,7979,1,Resource Exhaustion
2026-09-01 02:01:22,EP-002,192.168.1.102,1774.8,206.4,13.22,89.7,95.0,1082,78393,47562,1,Combined Severe Anomaly
2026-09-01 02:01:39,EP-001,192.168.1.101,353.1,23.5,0.82,31.5,28.0,92,9487,9580,0,Normal
2026-09-01 02:01:56,EP-004,192.168.1.104,295.8,39.1,0.39,39.6,33.7,129,14168,14583,0,Normal
2026-09-01 02:02:13,EP-005,192.168.1.105,256.4,26.4,1.25,15.2,42.9,122,14459,13416,0,Normal
2026-09-01 02:02:30,EP-003,192.168.1.103,1849.6,40.1,0.3,73.6,48.0,358,38041,62794,1,Traffic Spike
2026-09-01 02:02:47,EP-001,192.168.1.101,255.8,25.7,1.34,15.9,53.6,131,14714,14853,0,Normal
2026-09-01 02:03:04,EP-004,192.168.1.104,180.6,25.4,0.78,10.0,41.5,90,11268,10397,0,Normal
2026-09-01 02:03:21,EP-005,192.168.1.105,103.9,30.6,0.13,42.4,49.8,93,8024,7904,0,Normal
2026-09-01 02:03:38,EP-004,192.168.1.104,189.8,16.7,0.33,23.4,45.6,91,6353,5897,0,Normal
2026-09-01 02:03:55,EP-002,192.168.1.102,380.7,12.5,1.26,27.9,43.2,109,12415,12980,0,Normal
2026-09-01 02:04:12,EP-002,192.168.1.102,252.2,30.7,0.41,38.8,41.5,96,3658,3712,0,Normal
2026-09-01 02:04:29,EP-002,192.168.1.102,293.5,15.9,0.44,23.4,50.1,72,4242,4242,0,Normal
2026-09-01 02:04:46,EP-001,192.168.1.101,321.2,24.4,0.33,37.8,30.7,84,6233,6371,0,Normal
2026-09-01 02:05:03,EP-002,192.168.1.102,1894.1,33.0,0.28,76.9,37.1,295,45970,61860,1,Traffic Spike
2026-09-01 02:05:20,EP-005,192.168.1.105,222.2,31.3,0.94,24.3,50.4,87,9908,10347,0,Normal
2026-09-01 02:05:37,EP-003,192.168.1.103,193.4,19.4,0.53,34.7,46.1,23,8963,8303,0,Normal
2026-09-01 02:05:54,EP-004,192.168.1.104,315.7,23.4,0.85,52.3,41.0,99,8592,8083,0,Normal
2026-09-01 02:06:11,EP-001,192.168.1.101,285.7,19.9,1.19,25.1,35.6,98,15962,15258,0,Normal
2026-09-01 02:06:28,EP-003,192.168.1.103,260.7,39.7,0.71,27.7,31.1,106,3149,2963,0,Normal
2026-09-01 02:06:45,EP-005,192.168.1.105,323.5,30.9,0.61,49.6,35.9,143,12576,11707,0,Normal
2026-09-01 02:07:02,EP-004,192.168.1.104,280.0,79.6,0.54,92.5,91.0,327,10665,10422,1,Resource Exhaustion
2026-09-01 02:07:19,EP-005,192.168.1.105,170.2,31.5,0.99,34.9,62.2,98,12464,12427,0,Normal
2026-09-01 02:07:36,EP-003,192.168.1.103,112.6,12.7,0.28,21.4,49.2,71,5467,5283,0,Normal
2026-09-01 02:07:53,EP-005,192.168.1.105,226.2,98.8,13.16,35.6,56.1,113,14077,7051,1,Packet Loss Surge
2026-09-01 02:08:10,EP-005,192.168.1.105,191.2,25.2,0.69,31.5,49.5,130,14441,13394,0,Normal
2026-09-01 02:08:27,EP-005,192.168.1.105,279.6,37.5,1.34,40.9,37.7,77,6618,6326,0,Normal
2026-09-01 02:08:44,EP-004,192.168.1.104,344.5,17.0,0.51,43.3,23.5,54,7817,7980,0,Normal
2026-09-01 02:09:01,EP-001,192.168.1.101,229.9,459.7,14.48,37.1,26.7,55,3786,3731,1,High Latency
2026-09-01 02:09:18,EP-005,192.168.1.105,141.7,30.2,0.26,14.6,45.8,125,8889,8278,0,Normal
2026-09-01 02:09:35,EP-001,192.168.1.101,247.1,111.6,0.19,99.4,96.9,198,10709,10467,1,Resource Exhaustion
2026-09-01 02:09:52,EP-002,192.168.1.102,279.0,21.3,0.82,37.1,34.3,63,7872,8092,0,Normal
2026-09-01 02:10:09,EP-001,192.168.1.101,1589.9,15.3,0.42,75.1,36.7,299,67368,58000,1,Traffic Spike
2026-09-01 02:10:26,EP-003,192.168.1.103,187.2,508.9,13.78,32.7,30.7,81,7261,6886,1,High Latency
2026-09-01 02:10:43,EP-005,192.168.1.105,165.8,28.9,0.0,34.6,37.8,115,12487,12234,0,Normal
2026-09-01 02:11:00,EP-004,192.168.1.104,193.1,495.3,16.2,38.8,33.1,73,5087,5301,1,High Latency
2026-09-01 02:11:17,EP-002,192.168.1.102,338.2,33.9,0.37,48.1,40.8,27,7779,8043,0,Normal
2026-09-01 02:11:34,EP-002,192.168.1.102,257.3,24.5,0.27,47.2,41.1,147,4719,4669,0,Normal
2026-09-01 02:11:51,EP-002,192.168.1.102,361.3,26.4,0.95,22.0,33.8,77,9055,9065,0,Normal
2026-09-01 02:12:08,EP-002,192.168.1.102,312.0,25.4,0.17,36.2,32.2,98,11468,11307,0,Normal
2026-09-01 02:12:25,EP-001,192.168.1.101,93.4,14.0,0.04,20.1,43.3,106,10814,10848,0,Normal
2026-09-01 02:12:42,EP-003,192.168.1.103,251.9,438.3,14.44,23.6,49.3,48,4758,4569,1,High Latency
2026-09-01 02:12:59,EP-004,192.168.1.104,273.3,25.1,0.53,41.8,59.5,131,12633,12236,0,Normal
2026-09-01 02:13:16,EP-003,192.168.1.103,377.8,29.3,0.0,29.2,31.6,54,13290,12885,0,Normal
2026-09-01 02:13:33,EP-005,192.168.1.105,200.3,29.6,0.67,22.0,59.8,108,11849,11356,0,Normal
2026-09-01 02:13:50,EP-003,192.168.1.103,334.9,31.6,0.0,47.5,37.6,112,7889,7880,0,Normal
